#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9500,0,9500,9436.06
2013,     ,113    ,IMPOST BÉNS IMMOBLES URBANS                       ,15500000,0,15500000,16057338.33
2013,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECI      ,25379000,0,25379000,29038231.51
2013,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,3000000,0,3000000,3227175.02
2013,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,965000,0,965000,2433535.11
2013,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,6700000,0,6700000,7803976.39
2013,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",646000,0,646000,680028.07
2013,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,300000,0,300000,325423.84
2013,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,1110,0,1110,8990.48
2013,     ,311    ,RESIDÈNCIA D'AVIS                                 ,185000,0,185000,196028.01
2013,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,5775
2013,     ,312    ,ESCOLA BRESSOL                                    ,230000,0,230000,241750.12
2013,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,260000,0,260000,261579.16
2013,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,57000,0,57000,54644.07
2013,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,0,2250000,2517058.28
2013,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,0,21000,21190
2013,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,285000,0,285000,290187.56
2013,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,125000,0,125000,226801.36
2013,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,20000,0,20000,33254.43
2013,     ,326    ,RETIRADA DE VEHICLES                              ,140000,0,140000,200578.5
2013,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,0,33000,33375
2013,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,0,1000,830
