#Ejercicio,Org.,Econ.,Denominación (catalán),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2015,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8500,0,8500,8817.43
2015,     ,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,15500000,0,15500000,16971778.69
2015,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,29000000,0,29000000,29441523.29
2015,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2800000,0,2800000,3141248.71
2015,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1100000,0,1100000,4134797.72
2015,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7400000,0,7400000,12810668.82
2015,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,0,600000,682494.14
2015,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,60000,0,60000,70665.44
2015,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,5000,0,5000,22305.16
2015,     ,311    ,RESIDÈNCIA D'AVIS                                 ,160000,0,160000,182860.61
2015,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,0,5000,5537.61
2015,     ,312    ,ESCOLA BRESSOL                                    ,190000,0,190000,195401.66
2015,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,180000,0,180000,259871.85
2015,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,45000,0,45000,57474.59
2015,     ,31303  ,SERVEIS ESPORTIUS                                 ,2000000,0,2000000,2339414.26
2015,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,0,21000,23540
2015,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,260000,0,260000,283590.34
2015,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,200000,0,200000,429877.09
2015,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,30000,0,30000,34722.79
2015,     ,326    ,RETIRADA DE VEHICLES                              ,100000,0,100000,110589.4
2015,     ,32901  ,MERCAT MUNICIPAL                                  ,33000,0,33000,32432.76
2015,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1000,0,1000,830
2015,     ,32903  ,ALTRES TAXES REALITZACIO ACT. COMPETENCIA LOCAL   ,0,0,0,26349.01
2015,     ,331    ,TAXES GUALS                                       ,545400,0,545400,583211.5
2015,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1300000,0,1300000,1306934.76
2015,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,6,0,6,57526.69
2015,     ,335    ,TAXES VETLLADORS I CADIRES                        ,130000,0,130000,132028.97
2015,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,200000,0,200000,205326.59
