#ejercicio,Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2019,41   ,924  ,48902  ,TRANSF CORRENTS CCAR COMISSIÓ AJUDA REFUGIAT      ,41,924  ,48902 ,14000,0,14000,10500
2019,42   ,2316 ,226021 ,PUBLICITAT-DIFUSIÓ DONA                           ,42,23   ,22    ,3390,0,3390,7017.42
2019,42   ,2316 ,22606  ,PLA IGUALTAT DONA-HOME                            ,42,23   ,22    ,26310,0,26310,14547.7
2019,42   ,2316 ,226991 ,DESP DIVERSES PLA IGUALTAT DONA-HOME              ,42,23   ,22    ,1985,0,1985,196.21
2019,42   ,2316 ,227991 ,PRESTACIÓ DE SERVEIS DONA                         ,42,23   ,22    ,153000,0,153000,108191.01
2019,42   ,2316 ,48901  ,TRANSF CORRENTS IGUALTAT I DRETS SOCIALS          ,42,23   ,48    ,7290,0,7290,7288
2019,42   ,2317 ,12001  ,SOUS DEL GRUP A2                                  ,,2    ,1     ,53587,0,53587,50114.66
2019,42   ,2317 ,12003  ,SOUS DEL GRUP C1                                  ,,2    ,1     ,20521,0,20521,12066.45
2019,42   ,327  ,490    ,TRANS CORR AREA METROPOLITANA SAN SALVADOR        ,42,327  ,490   ,0,30000,30000,30000
2019,42   ,2316 ,48902  ,TRANSFERÈNCIES CORRENTS TAMAIA                    ,42,2316 ,48902 ,0,6335.52,6335.52,6335
2019,42   ,327  ,48910  ,TRANSFERENCIES CORRENTS FANSI                     ,42,327  ,48910 ,0,10000,10000,10000
2019,11.  ,491  ,4491   ,APORT. PRAT COMUNICACIÓ SL                        ,11,491  ,4491  ,650841,82000,732841,720000
2019,11.  ,491  ,741    ,APORT. INVERSIONS PRAT COMUNICACIÓ SL             ,11,491  ,741   ,90610,0,90610,22837.48
2019,11.  ,912  ,10000  ,RETRIBUCIONS BÀSIQUES ÒRGANS DE GOVERN            ,,9    ,1     ,66896,0,66896,70869.89
2019,11.  ,912  ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,14858,0,14858,15986.17
2019,11.  ,912  ,23000  ,ÒRGANS DE GOVERN-DIETES                           ,11,91   ,23    ,1900,0,1900,1337.6
2019,11.  ,912  ,23100  ,ÒRGANS DE GOVERN-LOCOMOCIÓ                        ,11,91   ,23    ,7600,0,7600,4480.35
