#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2021,051  ,433  ,465    ,TRANSFERÈNCIES CORRENTS CONSELL COMARCAL BAIX LLOB,051,43   ,46    ,0.0,0.0,0.0,0.0
2021,032  ,1722 ,449    ,TRANSF CORRENTS APSA GESTIÓ ENERGIES RENOVABLES   ,032,17   ,44    ,0.0,0.0,0.0,0.0
2021,031  ,933  ,632    ,MILLORA EN EQUIPAMENTS MUNICIPALS                 ,031,93   ,63    ,0.0,0.0,0.0,0.0
2021,012  ,929  ,500    ,FONS DE CONTINGÈNCIA                              ,012,92   ,50    ,0.0,0.0,0.0,0.0
2021,031  ,1500 ,640    ,"REDACCIÓ DE PROJECTES, ESTUDIS I DIRECCIONS OBRA  ",031,15   ,64    ,0.0,0.0,0.0,0.0
2021,021  ,160  ,22706  ,ESTUDIS I TREBALLS TÈCNICS - CLAVEGUERAM          ,021,16   ,22    ,0.0,0.0,0.0,0.0
2021,021  ,4411 ,4641   ,TRANSFERÈNCIES CORRENTS AMB - TARGETA ROSA        ,021,44   ,46    ,0.0,0.0,0.0,0.0
2021,021  ,1721 ,764    ,MÒDUL SOCORRISME PLATJA AMB                       ,021,1721 ,764   ,0.0,80000.0,80000.0,0.0
2021,012  ,1521 ,741    ,TRANSF CAPITAL PRAT ESPAIS ADQUISICIO HABITATGES  ,012,15   ,74    ,0.0,0.0,0.0,0.0
2021,041  ,323  ,226991 ,DESP DIVERSES MILLORA ENSENYAMENT PÚBLIC          ,041,32   ,22    ,1000.0,0.0,1000.0,0.0
2021,041  ,323  ,227992 ,PREST. SERVEIS ESCOLES BARRI SANT COSME           ,041,32   ,22    ,31000.0,0.0,31000.0,4758.0
2021,041  ,3231 ,12001  ,SOUS DEL GRUP A2                                  ,,3    ,1     ,70662.0,0.0,70662.0,12600.72
2021,041  ,3231 ,12003  ,SOUS DEL GRUP C1                                  ,,3    ,1     ,21648.0,0.0,21648.0,4730.52
2021,041  ,3231 ,12005  ,SOUS DEL GRUP E                                   ,,3    ,1     ,16817.0,0.0,16817.0,3622.62
2021,041  ,3231 ,12006  ,TRIENNIS                                          ,,3    ,1     ,23049.0,0.0,23049.0,2322.9
2021,041  ,3231 ,120099 ,RETRIBUCIONS BÀSIQUES SUPLÈNCIES                  ,,3    ,1     ,5394.0,0.0,5394.0,0.0
2021,041  ,3231 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,3    ,1     ,45525.0,0.0,45525.0,8312.98
2021,041  ,3231 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,3    ,1     ,102348.0,0.0,102348.0,28525.72
2021,051  ,2413 ,227992 ,DOTACIÓ PREMIS EL PRAT EMPRÈN                     ,051,24   ,22    ,6000.0,0.0,6000.0,0.0
2021,051  ,2413 ,227993 ,CONTR PREST SERVEIS ECONOMIA SOCIAL               ,051,2413 ,227993,63840.0,20178.53,84018.53,5554.81
2021,051  ,2413 ,48901  ,TR CORRENTS EMPRESA INSERCIO SAOPRAT SL           ,051,2413 ,48901 ,108000.0,0.0,108000.0,0.0
2021,051  ,2413 ,48902  ,TR. CORRENTS FUNDACIO CASSIA JUST                 ,051,2413 ,48902 ,62000.0,0.0,62000.0,0.0
2021,051  ,2413 ,48903  ,TR CORRENTS CPS FRANCESC PALAU                    ,051,2413 ,48903 ,55000.0,0.0,55000.0,0.0
2021,051  ,2413 ,48904  ,TRANSF CORRENTS GATS (LABESOC)                    ,051,2413 ,48904 ,77000.0,0.0,77000.0,0.0
2021,051  ,2413 ,48905  ,TR CORR FUNDACIO CATALANA DE L'ESPLAI             ,051,2413 ,48905 ,75000.0,0.0,75000.0,0.0
2021,051  ,2413 ,48906  ,"TRANSF CORRENTS, AJUTS A LA CONTRACTACIÓ          ",051,24   ,48    ,200000.0,0.0,200000.0,0.0
2021,051  ,2413 ,48912  ,TRANSF CORRENTS ECONOMIA SOCIAL I COOPERATIVA     ,051,24   ,48    ,102000.0,0.0,102000.0,1025.0
2021,051  ,2413 ,48913  ,TRANSF CORRENT ASSOCIACIÓ ESPIGOLADORS            ,051,2413 ,48913 ,95000.0,0.0,95000.0,0.0
2021,051  ,2413 ,48914  ,TRANSF CORRENTS FUNDACIÓ ESPERANZAH -LOCAL-       ,051,2413 ,48914 ,43560.0,0.0,43560.0,0.0
2021,051  ,2413 ,48915  ,TRANSF CORRENTS COOPERATIVA OBRERA DE VIVENDES    ,051,2413 ,48915 ,11000.0,0.0,11000.0,0.0
2021,051  ,2413 ,48917  ,TRANSF CORRENTS COOPERATIVA AGRÍCOLA              ,051,2413 ,48917 ,100000.0,0.0,100000.0,0.0
2021,051  ,2413 ,48918  ,TRANSF CORRENTS FUNDACIÓ SEIRA                    ,051,2413 ,48918 ,100.0,0.0,100.0,0.0
2021,051  ,2413 ,48919  ,TRANSF CORRENTS FUNDACIO ESPERANZAH               ,051,2413 ,48919 ,65600.0,0.0,65600.0,0.0
2021,051  ,2414 ,1430   ,PLANS OCUPACIÓ SOC                                ,051,2414 ,1430  ,56020.0,225876.05,281896.05,80996.68
2021,051  ,2414 ,16000  ,QUOTES SEGURETAT SOCIAL SOC                       ,051,2414 ,16000 ,4400.0,76470.0,80870.0,20947.44
2021,012  ,9231 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,25728.0,0.0,25728.0,5933.1
2021,012  ,9208 ,12006  ,TRIENNIS                                          ,,9    ,1     ,9746.0,0.0,9746.0,294.6
2021,012  ,9208 ,12100  ,COMPLEMENT DE DESTINACIÓ                          ,,9    ,1     ,14716.0,0.0,14716.0,1708.8
2021,012  ,9208 ,12101  ,COMPLEMENT ESPECÍFIC                              ,,9    ,1     ,33425.0,0.0,33425.0,14310.86
2021,012  ,9208 ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,,9    ,1     ,65524.0,0.0,65524.0,14569.69
2021,012  ,9208 ,16000  ,QUOTES SEGURETAT SOCIAL                           ,,9    ,1     ,44418.0,0.0,44418.0,2989.66
2021,012  ,9209 ,12001  ,SOUS DEL GRUP A2                                  ,,9    ,1     ,14133.0,0.0,14133.0,3150.18
2021,012  ,9209 ,12004  ,SOUS DEL GRUP C2                                  ,,9    ,1     ,9175.0,0.0,9175.0,1968.54
2021,012  ,9209 ,12005  ,SOUS DEL GRUP E                                   ,,9    ,1     ,16817.0,0.0,16817.0,3603.48
2021,012  ,9209 ,12006  ,TRIENNIS                                          ,,9    ,1     ,7432.0,0.0,7432.0,1554.84
