#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,061  ,3412 ,226093 ,DESP NIT DE L'ESPORT                              ,061,34   ,22    ,10720,0,,8891.18
2025,064  ,334  ,227991 ,PROJECTE JOVES I MEDI OBERT                       ,064,33   ,22    ,163000,60000,,108799.62
2025,0113 ,132  ,214    ,POLICIA LOCAL-VEHICLES                            ,011,13   ,21    ,49500,0,,0
2025,061  ,3412 ,227991 ,DESP CURSA POPULAR                                ,061,34   ,22    ,16528,0,,330
2025,061  ,3411 ,48902  ,CONVENI CB PRAT PROMOCIÓ BASQUET                  ,061,3411 ,48902 ,248000,0,,189400
2025,012  ,9204 ,131021 ,INCENTIU PRODUCTIVITAT NO ABSENTISME LABORAL TEMP ,,9    ,1     ,6366.67,0,,5450
2025,051  ,2412 ,12101  ,COMPLEMENT ESPECÍFIC                              ,051,2412 ,12101 ,245796.04,113195.64,,230998.25
2025,031  ,1532 ,151    ,GRATIFICACIÓ SERVEIS FUNCIONARIS                  ,,1    ,1     ,12000,0,,13888.65
2025,061  ,3421 ,121031 ,ALTRES COMPLEMENTS                                ,,3    ,1     ,2600,0,,4841.21
2025,042  ,334  ,227991 ,PROGRAMA ARTS EN VIU                              ,042,33   ,22    ,250000,0,,196420.86
2025,044  ,2311 ,2279904,CONTR PRESTACIO SERVEIS CURES                     ,044,2311 ,227990,69676,-2009,,32328.45
2025,044  ,2313 ,227993 ,CONT SERVEI D'INTERVENCIÓ SOCIOEDUCATIVA          ,044,23   ,22    ,549916,11383.75,,377994.23
2025,032  ,170  ,227992 ,CONTR PREST SERVEIS EDUCACIÓ AMBIENTAL            ,032,17   ,22    ,121000,0,,48900.81
2025,032  ,419  ,22799  ,PRESTACIÓ SERVEIS AGRIGULTURA                     ,032,41   ,22    ,25000,0,,0
2025,041  ,326  ,489    ,TRANSF CORRENTS AMPAS                             ,041,32   ,48    ,40450,0,,16180
2025,041  ,326  ,48901  ,TRANSF CORRENTS PROJECTES PEDAGÒGICS              ,041,32   ,48    ,4028,0,,4399.99
2025,032  ,1722 ,227992 ,OFICINA D'ENERGIA I CLIMA                         ,032,17   ,22    ,100000,0,,59093.6
2025,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÈCNIC                          ",031,15   ,22    ,41820,224.42,,4457.73
2025,042  ,333  ,227994 ,CONTR PREST SERVEIS CC JARDINS DE LA PAU          ,042,33   ,22    ,334273,0,,222848.64
2025,051  ,2412 ,12001  ,SOUS DEL GRUP A2                                  ,051,2412 ,12001 ,305497.94,186728.38,,299988.4
