#ejercicio,Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2012,18   ,9242 ,22699  ,DESP DIVERSES CIVISME I CONSELLS                  ,18,92   ,22   ,2138,,2138.0,914.5
2012,18   ,9242 ,22799  ,CONTR PREST SERVEIS CIVISME I CONVIVENCIA         ,18,92   ,22   ,36000,15000.0,51000.0,47021.07
2012,18   ,9242 ,4891   ,TRANSF CORRENTS PROMOCIÓ CÍVICA                   ,18,92   ,48   ,17550,9240.0,26790.0,26790.0
2012,16   ,151  ,6321   ,MILLORA EQUIPAMENTS DIVERSOS                      ,16,151  ,6321 ,0,297000.0,297000.0,170752.59
2012,16   ,152  ,600    ,ADQUISICIO PATRIMONI                              ,16,152  ,600  ,0,1620340.58,1620340.58,887334.05
2012,07   ,321  ,625    ,MOBILIARI ESCOLA BRESSOL LA BLAVETA               ,07,321  ,625  ,0,3683.96,3683.96,3683.96
2012,16   ,132  ,6322   ,TANCA DIPOSIT VEHICLES POLICIA LOCAL              ,16,132  ,6322 ,0,27127.48,27127.48,27127.48
2012,16   ,150  ,639    ,INV. MILLORA EQUIPAMENTS DIVERSOS                 ,16,150  ,639  ,0,51972.37,51972.37,51972.37
2012,16   ,151  ,6221   ,INV NOVA EQUIPAMENTS I SERVEIS                    ,16,151  ,6221 ,0,627134.34,627134.34,23819.58
2012,16   ,155  ,6191   ,MILLORA INFRAESTRUCTURES I BENS D'US GRAL         ,16,155  ,6191 ,0,600000.0,600000.0,
2012,16   ,161  ,609    ,ANTI-DSU CONSTRUCCIO DIPOSIT                      ,16,161  ,609  ,0,21775.2,21775.2,
2012,18   ,231  ,22602  ,PUBLICITAT-DIFUSIÓ                                ,18,23   ,22   ,6075,,6075.0,4396.0
2012,18   ,231  ,22699  ,DESP DIVERSES LLEI DE BARRIS                      ,18,23   ,22   ,14583,,14583.0,4545.93
2012,18   ,231  ,227991 ,PREST SERVEIS PASC                                ,18,23   ,22   ,160000,,160000.0,143308.45
2012,18   ,232  ,12001  ,SOUS DEL GRUP A2                                  ,  ,2    ,1    ,11508,,11508.0,2326.06
2012,18   ,232  ,12003  ,SOUS DEL GRUP C1                                  ,  ,2    ,1    ,8640,,8640.0,8524.1
2012,18   ,232  ,12004  ,SOUS DEL GRUP C2                                  ,  ,2    ,1    ,3596,,3596.0,1937.58
2012,18   ,232  ,12006  ,TRIENNIS                                          ,  ,2    ,1    ,5680,,5680.0,5219.19
2012,18   ,232  ,12009  ,ALTRES RETRIBUCIONS BÀSIQUES                      ,  ,2    ,1    ,6968,,6968.0,3327.11
2012,18   ,232  ,12100  ,COMPLEMENT DE DESTINACIO                          ,  ,2    ,1    ,12485,,12485.0,5834.62
2012,18   ,232  ,12101  ,COMPLEMENT ESPECIFIC                              ,  ,2    ,1    ,36315,,36315.0,22489.0
2012,18   ,232  ,13000  ,RETRIBUCIONS BÀSIQUES PERSONAL LABORAL FIX        ,  ,2    ,1    ,80509,,80509.0,76172.22
2012,18   ,232  ,13001  ,HORES EXTRAORDINÀRIES PERSONAL LABORAL FIX        ,  ,2    ,1    ,2169,,2169.0,190.1
2012,18   ,232  ,151    ,GRATIFICACIO SERVEIS FUNCIONARIS                  ,  ,2    ,1    ,406,,406.0,
