#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2012,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,10000,0,10000,9605.74
2012,     ,113    ,IMPUESTO BIENES INMUEBLES URBANOS                       ,14900000,0,14900000,15852114.13
2012,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECI      ,23011790,333681,23345471,26924613.28
2012,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,3350000,0,3350000,3294343.37
2012,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,1200000,0,1200000,2264664.72
2012,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7500000,0,7500000,6683972.42
2012,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",1000000,0,1000000,910638.04
2012,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,315000,0,315000,335676.37
2012,     ,30901  ,VIGILANCIA ESPECIAL                               ,1000,0,1000,1084.32
2012,     ,311    ,RESIDENCIA DE ANCIANOS,180000,0,180000,204040.27
2012,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,4401.24
2012,     ,312    ,GUARDERÍA,222000,0,222000,251631.36
2012,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,320000,0,320000,292714.85
2012,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,40000,0,40000,55673.77
2012,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2235000,0,2235000,2588800.17
2012,     ,31905  ,CONTROL SANITARIO PERROS,18000,0,18000,21140
2012,     ,321    ,TASA LICENCIES DE OBRAS                           ,400000,0,400000,404931.03
2012,     ,323    ,TASA PERMISOS AMBIENTALES                          ,200000,0,200000,298289.93
2012,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,25000,0,25000,26965.65
