#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2016,     ,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,8500,,8500.0,9882.63
2016,     ,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,15500000,,15500000.0,17148771.12
2016,     ,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,29244628,,29244628.0,26248775.78
2016,     ,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2800000,,2800000.0,3138778.4
2016,     ,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,4508153,,4508153.0,5836869.64
2016,     ,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7742493,,7742493.0,7373759.71
2016,     ,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",600000,,600000.0,3113963.77
2016,     ,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,70000,,70000.0,66027.13
2016,     ,30901  ,VIGILÀNCIA ESPECIAL                               ,15000,,15000.0,15322.52
2016,     ,311    ,RESIDÈNCIA D'AVIS                                 ,160000,,160000.0,185810.91
2016,     ,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,5000,,5000.0,18280.82
2016,     ,312    ,ESCOLA BRESSOL                                    ,190000,,190000.0,197725.75
2016,     ,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,225000,,225000.0,272485.57
2016,     ,31302  ,INSTAL.LACIONS ESPORTIVES                         ,40000,,40000.0,39626.73
2016,     ,31303  ,SERVEIS ESPORTIUS                                 ,2250000,,2250000.0,2258237.73
2016,     ,31905  ,CONTROL SANITARI GOSSOS                           ,21000,,21000.0,24664.0
2016,     ,321    ,TAXA LLICÈNCIES D'OBRES                           ,260000,,260000.0,1304996.05
2016,     ,323    ,TAXA PERMISOS AMBIENTALS                          ,225000,,225000.0,313970.93
2016,     ,325    ,EXPEDICIÓ DE DOCUMENTS                            ,27000,,27000.0,47204.19
2016,     ,326    ,RETIRADA DE VEHICLES                              ,77000,,77000.0,225390.77
2016,     ,32901  ,MERCAT MUNICIPAL                                  ,32000,,32000.0,27777.0
2016,     ,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,800,,800.0,1270.0
2016,     ,32903  ,ALTRES TAXES REALITZACIO ACT. COMPETÈNCIA LOCAL   ,0,,,40735.8
2016,     ,331    ,TAXES GUALS                                       ,560000,,560000.0,603317.98
2016,     ,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,1300000,,1300000.0,1013354.36
2016,     ,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,50000,,50000.0,28898.18
2016,     ,335    ,TAXES VETLLADORS I CADIRES                        ,130000,,130000.0,145748.3
2016,     ,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,205000,,205000.0,176575.08
2016,     ,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,62000,,62000.0,313404.61
2016,     ,33901  ,TAXES QUIOSCOS                                    ,65000,,65000.0,64322.0
2016,     ,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,46000,,46000.0,39240.0
2016,     ,34901  ,HORTS LÚDICS                                      ,15000,,15000.0,15277.5
2016,     ,34902  ,SERVEIS CULTURALS                                 ,1000,,1000.0,
2016,     ,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,44101.82,44107.82,49352.59
2016,     ,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,3000,,3000.0,5442.52
2016,     ,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,39000,,39000.0,46742.0
2016,     ,36000  ,VENDA MATERIAL REBUTJABLE                         ,3000,,3000.0,795.0
2016,     ,36001  ,VENDA DE PUBLICACIONS                             ,100,,100.0,1071.75
2016,     ,36002  ,VENDA D'ELECTRICITAT                              ,45000,,45000.0,46451.52
2016,     ,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",330000,,330000.0,415990.45
2016,     ,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,,5000.0,13039.69
2016,     ,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,,5000.0,10333.68
2016,     ,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,10000,,10000.0,13250.0
2016,     ,39120  ,MULTES CIRCULACIÓ                                 ,500000,,500000.0,1611747.82
2016,     ,39190  ,ALTRES MULTES I SANCIONS                          ,50000,,50000.0,193796.28
2016,     ,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,7000,,7000.0,916.99
2016,     ,39211  ,RECÀRREC CONSTRENYIMENT                           ,36000,,36000.0,57049.88
2016,     ,393    ,INTERESSOS DE DEMORA                              ,55000,,55000.0,64868.53
2016,     ,39700  ,APROFITAMENT URBANÍSTIC                           ,0,,,8184372.91
2016,     ,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,90000,,90000.0,136882.16
2016,     ,399    ,ALTRES INGRESOS DIVERSOS                          ,70000,16545.0,86545.0,173923.35
2016,     ,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,13750000,,13750000.0,14617651.05
2016,     ,441    ,TRANSFERENCIESD'EMPRESES ENTITAT LOCAL            ,0,9500.0,9500.0,9500.0
2016,     ,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,388343,,388343.0,387375.14
2016,     ,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,15000,225210.8,240210.8,321710.25
2016,     ,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1850000,,1850000.0,1814181.64
2016,     ,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,62950,,62950.0,13500.0
2016,     ,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,896074.08,896080.08,1036457.95
2016,     ,450801 ,SUBV. GENERALITAT SANITAT-CONSUM                  ,12000,,12000.0,108679.41
2016,     ,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,25600,,25600.0,1800.0
2016,     ,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,25000,,25000.0,53535.21
2016,     ,45300  ,"DE SOCIETATS, ENS PUBLICS I ALTRES DEPENENTS CCAA ",10000,,10000.0,9135.0
2016,     ,46100  ,SUBVENCIONS DIPUTACIO                             ,100000,,100000.0,123012.19
2016,     ,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,802457.94,802463.94,884825.8
2016,     ,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,306000,,306000.0,372587.98
2016,     ,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,223512,,223512.0,227839.8
2016,     ,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,3000,,3000.0,24048.0
2016,     ,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,87000,,87000.0,76068.75
2016,     ,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",6700,,6700.0,8900.0
2016,     ,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,,6.0,
2016,     ,46108  ,SUBV DIPUTACIÓ PROMOCIO DONA                      ,33985,,33985.0,
2016,     ,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,158860,,158860.0,
2016,     ,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,,6.0,21113.63
2016,     ,464    ,TRANSFERENCIES CORRENTS D'AREAS METROPOLITANAS    ,295000,88164.49,383164.49,286779.91
2016,     ,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,6,,6.0,
2016,     ,470    ,SUBVENCIONS D'EMPRESES                            ,5000,67091.15,72091.15,74000.0
2016,     ,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,40968.34,40974.34,40968.34
