#Ejercicio,Org.,Econ.,Denominación (castellano),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2017,     ,87000  ,REMANENTE TESORERIA GASTOS AFECTADOS   ,0,49854983.77,49854983.77,0
2017,     ,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,8500,0,8500,9474.94
2017,     ,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,15500000,0,15500000,16494162.44
2017,     ,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,29640000,0,29640000,29644174.12
2017,     ,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2800000,0,2800000,3151931.23
2017,     ,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,2857485,0,2857485,1547537.78
2017,     ,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7400000,0,7400000,271677.4
2017,     ,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",600000,0,600000,837347.9
2017,     ,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,70000,0,70000,2088.23
2017,     ,30901  ,VIGILANCIA ESPECIAL                               ,15000,0,15000,22723.3
2017,     ,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,92775.12
2017,     ,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,5000,0,5000,13039.91
2017,     ,312    ,GUARDERÍA,190000,0,190000,118723.97
2017,     ,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,225000,0,225000,128177.56
2017,     ,31302  ,INSTALACIONES DEPORTIVAS                         ,40000,0,40000,13980.62
2017,     ,31303  ,SERVICIOS DEPORTIVOS                              ,2250000,0,2250000,1127814.04
2017,     ,31905  ,CONTROL SANITARIO PERROS,21000,0,21000,25394
2017,     ,321    ,TASA LICENCIES DE OBRAS                           ,260000,0,260000,355974.15
2017,     ,323    ,TASA PERMISOS AMBIENTALES                          ,225000,0,225000,173852.24
2017,     ,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,27000,0,27000,25508.43
2017,     ,326    ,RETIRADA DE VEHÍCULOS,80000,0,80000,71544.5
2017,     ,32901  ,MERCADO MUNICIPAL                                  ,32000,0,32000,13596
2017,     ,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1000,0,1000,0
2017,     ,331    ,TASAS VADOS                                       ,570000,0,570000,586360.08
2017,     ,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,635000,0,635000,693624.39
2017,     ,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,17000,0,17000,-36533.25
2017,     ,335    ,TASAS VELADORES Y SILLAS                    ,145000,0,145000,151027.35
2017,     ,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,205000,0,205000,117515.3
2017,     ,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,133000,0,133000,112649.56
2017,     ,33901  ,TASAS QUIOSCOS                                    ,65000,0,65000,112670.91
2017,     ,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,46000,0,46000,8837
