#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2020,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,17388009,0,17388009,18031556.34
2020,,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,35196327,0,35196327,33810057.38
2020,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9000,0,9000,9714.23
2020,,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2799745,0,2799745,3028027.08
2020,,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,2500000,0,2500000,2886649.5
2020,,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7940274,0,7940274,7763419.42
2020,,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",1800000,0,1800000,1032487.34
2020,,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,64000,0,64000,58710.11
2020,,30901  ,VIGILANCIA ESPECIAL                               ,15150,0,15150,4127.7
2020,,311    ,RESIDENCIA DE ANCIANOS,160000,0,160000,115953.76
2020,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,30000,0,30000,34726.1
2020,,312    ,GUARDERÍA,190000,0,190000,49079.63
2020,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,227250,0,227250,23122.82
2020,,31302  ,INSTALACIONES DEPORTIVAS                         ,30000,0,30000,15773.76
2020,,31303  ,SERVICIOS DEPORTIVOS                              ,2295225,0,2295225,465162.24
2020,,31905  ,CONTROL SANITARIO PERROS,28000,0,28000,36293.68
2020,,321    ,TASA LICENCIES DE OBRAS                           ,520000,0,520000,431272.6
2020,,323    ,TASA PERMISOS AMBIENTALES                          ,404000,0,404000,454674.44
2020,,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,27543,0,27543,20152.45
2020,,326    ,RETIRADA DE VEHÍCULOS,80800,0,80800,27298.5
2020,,32901  ,MERCADO MUNICIPAL                                  ,28000,0,28000,10647.51
2020,,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1020,0,1020,732
2020,,32903  ,OTRAS TASAS REALIZACIÓN ACT COMPETENCIA LOCAL,50000,0,50000,64386.79
2020,,331    ,TASAS VADOS                                       ,581457,0,581457,625865.1
2020,,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,1000000,0,1000000,973006.1
2020,,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,17000,0,17000,16801.62
2020,,335    ,TASAS VELADORES Y SILLAS                    ,160000,0,160000,134994.77
2020,,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,205000,0,205000,161670.48
2020,,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,135673,0,135673,117876.75
