#Ejercicio,Org.,Prog.,Econ.,Denominación (cast.),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2022,032  ,425  ,872901 ,APORTACIÓN COMUNIDAD CIUDADANA DE ENERGÍA,032,425  ,872901,0.0,180000.0,180000.0,0.0
2022,031  ,1500 ,214    ,REPARACIÓN VEHÍCULOS,031,15   ,21    ,114110.0,3909.84,118019.84,51636.68
2022,031  ,1500 ,221031 ,COMBUSTIBLE VEHÍCULOS,031,15   ,22    ,66550.0,0.0,66550.0,41602.19
2022,031  ,1500 ,22104  ,VESTUARIO BRIGADA,031,15   ,22    ,66000.0,0.0,66000.0,25135.45
2022,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÉCNICO",031,15   ,22    ,38800.0,35263.68,74063.68,53169.08
2022,031  ,1500 ,224    ,SEGUROS VEHÍCULOS,031,15   ,22    ,12640.0,0.0,12640.0,12040.0
2022,031  ,1501 ,12005  ,SUELDOS DEL GRUPO E,,1    ,1     ,8577.0,0.0,8577.0,8515.92
2022,031  ,1501 ,12006  ,TRIENIOS,,1    ,1     ,2150.0,0.0,2150.0,2131.58
2022,031  ,1501 ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,3366.0,0.0,3366.0,3341.43
2022,031  ,1501 ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,13012.0,0.0,13012.0,13540.65
2022,031  ,1501 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,288670.0,0.0,288670.0,273650.46
2022,031  ,1501 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1    ,1     ,100.0,0.0,100.0,11112.19
2022,031  ,1501 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,1    ,1     ,6848.0,0.0,6848.0,0.0
2022,031  ,1501 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,112976.0,0.0,112976.0,99641.04
2022,031  ,1532 ,12001  ,SUELDOS DEL GRUPO A2,,1    ,1     ,28831.0,0.0,28831.0,29145.28
2022,031  ,1532 ,12003  ,SUELDOS DEL GRUPO C1,,1    ,1     ,11041.0,0.0,11041.0,11202.68
2022,031  ,1532 ,12004  ,SUELDOS DEL GRUPO C2,,1    ,1     ,140370.0,0.0,140370.0,91946.33
2022,031  ,1532 ,12005  ,SUELDOS DEL GRUPO E,,1    ,1     ,42882.0,0.0,42882.0,27605.82
2022,031  ,1532 ,12006  ,TRIENIOS,,1    ,1     ,14234.0,0.0,14234.0,14720.91
2022,031  ,1532 ,12100  ,COMPLEMENTO DE DESTINO,,1    ,1     ,98810.0,0.0,98810.0,69892.22
2022,031  ,1532 ,12101  ,COMPLEMENTO ESPECÍFICO,,1    ,1     ,341694.0,0.0,341694.0,262706.61
2022,031  ,1532 ,121031 ,OTROS COMPLEMENTOS,,1    ,1     ,3700.0,0.0,3700.0,4817.7
2022,031  ,1532 ,13000  ,RETRIBUCIONES BÁSICAS PERSONAL LABORAL FIJO,,1    ,1     ,432001.0,0.0,432001.0,498443.54
2022,031  ,1532 ,13001  ,HORAS EXTRAORDINARIAS PERSONAL LABORAL FIJO,,1    ,1     ,6930.0,0.0,6930.0,11539.68
2022,031  ,1532 ,13002  ,OTRAS REMUNERACIONES PERSONAL LABORAL FIJO,,1    ,1     ,10500.0,0.0,10500.0,8104.99
2022,031  ,1532 ,151    ,GRATIFICACIÓN SERVICIOS FUNCIONARIOS,,1    ,1     ,6530.0,0.0,6530.0,13464.14
2022,031  ,1532 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,381128.0,0.0,381128.0,337691.1
2022,031  ,1532 ,210    ,VIAS PÚBLICAS CONSERV-REPARACIÓN,031,15   ,21    ,550000.0,1329.92,551329.92,203354.64
2022,031  ,1532 ,213    ,"BRIGADA, CONSERV-REP MÁQUINAS-INSTAL",031,15   ,21    ,5000.0,0.0,5000.0,0.0
2022,031  ,1532 ,2191   ,SUBM. MOBILIARIO URBANO,031,15   ,21    ,188490.0,-35000.0,153490.0,88765.11
2022,032  ,1721 ,16000  ,CUOTAS SEGURIDAD SOCIAL,,1    ,1     ,23994.0,0.0,23994.0,25236.25
2022,032  ,1721 ,22199  ,GESTIÓN-ESPACIOS NATURALES,032,17   ,22    ,23400.0,0.0,23400.0,11411.04
2022,032  ,1721 ,227991 ,PREST SERVICIOS -ESPACIOS NATURALES-PLAYA,032,17   ,22    ,56664.0,3605.8,60269.8,38311.05
2022,032  ,1722 ,22601  ,GASTOS DIVERSOS,032,17   ,22    ,450.0,0.0,450.0,0.0
2022,032  ,1722 ,22701  ,ESTUDIOS Y TRABAJOS TÉCNICOS,032,17   ,22    ,50000.0,3169.62,53169.62,55531.9
2022,032  ,1722 ,227991 ,CONTR PREST CONTROL ENERGÉTICO,032,17   ,22    ,50565.0,0.0,50565.0,36786.64
2022,032  ,1722 ,227992 ,DESPLIEGUE OFICINA DE ENERGIA Y CLIMA,032,17   ,22    ,89000.0,0.0,89000.0,69450.57
2022,032  ,1722 ,467    ,APORT CONSORCIO ESPACIOS NATURALES DEL DELTA,032,1722 ,467   ,60000.0,0.0,60000.0,60000.0
2022,032  ,1722 ,479    ,LINEA AYUDAS MOVILIDAD DESCARBONIZADA EMPRESA,032,1722 ,479   ,82000.0,0.0,82000.0,0.0
2022,032  ,2311 ,4892   ,LINEA AYUDAS VULNERABILIDAD ENERGÉTICA,032,2311 ,4892  ,39000.0,70000.0,109000.0,0.0
2022,032  ,2311 ,4894   ,LINEA AYUDAS REHABILITACIÓN ENERGÉTICA FAMILIAS VULN,032,2311 ,4894  ,50000.0,0.0,50000.0,0.0
2022,032  ,419  ,22199  ,SUMINISTROS DIVERSOS AGRICULTURA,032,41   ,22    ,15000.0,0.0,15000.0,0.0
2022,032  ,419  ,22602  ,PUBLICIDAD Y DIFUSIÓN AGRICULTURA,032,41   ,22    ,7704.0,0.0,7704.0,3333.55
2022,032  ,419  ,22699  ,GASTOS DIVERSOS AGRICULTURA,032,41   ,22    ,500.0,0.0,500.0,0.0
2022,032  ,419  ,22799  ,PRESTACIÓN SERVICIOS AGRICULTURA,032,41   ,22    ,54900.0,-1000.0,53900.0,80016.41
2022,032  ,419  ,2279901,ESTRATEGIA ALIMENTACIÓN SOSTENIBLE,032,41   ,22    ,7100.0,0.0,7100.0,0.0
2022,032  ,419  ,489    ,TRANSF CORRIENTE AGRICULTURA,032,41   ,48    ,17000.0,0.0,17000.0,15000.0
2022,032  ,419  ,48901  ,TRANSF CORRIENTE PARQUE AGRARIO,032,419  ,48901 ,21000.0,0.0,21000.0,21000.0
2022,032  ,419  ,48902  ,"TRANSF CORRIENTE ""ESPIGOLADORS""",032,419  ,48902 ,12000.0,0.0,12000.0,7200.0
2022,032  ,419  ,48903  ,CUOTAS-APORTACIONES DIVERSAS,032,41   ,48    ,1000.0,0.0,1000.0,1000.0
2022,032  ,419  ,48904  ,CONVENIO FUNDESPLAI EXPOSICIÓN ALIMENTACIÓN,032,419  ,48904 ,15000.0,0.0,15000.0,9000.0
2022,041  ,320  ,22199  ,SUMINISTROS DIVERSOS,041,32   ,22    ,2000.0,0.0,2000.0,0.0
2022,041  ,320  ,22602  ,PUBLICIDAD DIFUSIÓN PROM ESCOLAR,041,32   ,22    ,11600.0,0.0,11600.0,22831.44
2022,031  ,1532 ,22101  ,"CONSUMO AGUA VIAS PÚBLICAS, PARQUES, ETC",031,15   ,22    ,225000.0,0.0,225000.0,228540.81
2022,031  ,1532 ,223    ,GASTOS TRANSPORTES,031,15   ,22    ,3000.0,0.0,3000.0,2253.49
2022,031  ,1532 ,22699  ,CONSERV Y MANT V PÚBLICA GASTOS DIVERSOS,031,15   ,22    ,3000.0,0.0,3000.0,4537.64
