#Ejercicio,Org.,Econ.,Denominación (cast.),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2022,,870101 ,REMANENTE TESORERIA AFECTADA AL PATRIMONIO MPAL SUELO,0,107345.25,107345.25,0
2022,,870100 ,REMANENTE TESORERIA GASTOS FINANCIAMIENTO AFECTADO,0,700327.93,700327.93,0
2022,,112    ,IMPUESTO BIENES INMUEBLES RÚSTICOS                      ,9000,0,9000,9652.29
2022,,113    ,IMPUESTO BIENES INMUEBLES DE NATURALEZA URBANA         ,18700000,0,18700000,18759524.5
2022,,114    ,IMPUESTO BIENES INMUEBLES CARACTERISTICAS ESPECIALES   ,38934987,0,38934987,36784142.72
2022,,115    ,IMPUESTO VEHICULOS TRACCIÓN MECÁNICA                  ,2799745,0,2799745,2890550.43
2022,,116    ,IMPUESTO INCREMENTO VALOR DE TERRENOS          ,1,0,1,2536733.42
2022,,130    ,IMPUESTO ACTIVIDADES ECONÓMICAS                    ,7328165,0,7328165,7946427.34
2022,,290    ,"IMPUESTO CONSTRUCCIONES,INSTALACIONES Y OBRAS       ",2000000,0,2000000,864073.59
2022,,302    ,TASA RECOGIDA BASURA COMERCIAL                   ,60000,0,60000,69460.5
2022,,30901  ,VIGILANCIA ESPECIAL                               ,4271,0,4271,6021.5
2022,,311    ,RESIDENCIA DE ANCIANOS,166000,0,166000,127759.63
2022,,31101  ,TASA PRESTACIÓN SERVICIOS SOCIALES                    ,123000,0,123000,80868.64
2022,,312    ,GUARDERÍA,156000,0,156000,112719.39
2022,,31301  ,CURSILLOS Y ACTIVIDADES DEPORTIVAS           ,160000,0,160000,171604.58
2022,,31302  ,INSTALACIONES DEPORTIVAS                         ,30000,0,30000,17449.9
2022,,31303  ,SERVICIOS DEPORTIVOS                              ,1750000,0,1750000,1330367.47
2022,,31905  ,CONTROL SANITARIO PERROS,37450,0,37450,45912.48
2022,,321    ,TASA LICENCIES DE OBRAS                           ,850000,0,850000,368709.72
2022,,323    ,TASA PERMISOS AMBIENTALES                          ,288809,0,288809,188717.18
2022,,325    ,EXPEDICIÓN DE DOCUMENTOS                            ,22868,0,22868,20385.55
2022,,326    ,RETIRADA DE VEHÍCULOS,80800,0,80800,125784.4
2022,,32901  ,MERCADO MUNICIPAL                                  ,28924,0,28924,28079.52
2022,,32902  ,CONTROL SANITARIO DE ESTABLECIMIENTOS                   ,1220,0,1220,1342
2022,,32903  ,OTRAS TASAS REALIZACIÓN ACT COMPETENCIA LOCAL,50000,0,50000,0
2022,,331    ,TASAS VADOS                                       ,600000,0,600000,662357.35
2022,,332    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP SUMINISTRA,833850,0,833850,1714377.54
2022,,333    ,UTILITZACIÓN PRIVATIVA/APROVECHAMIENTO EMP TELECOMUNIC,16700,0,16700,153546.07
2022,,335    ,TASAS VELADORES Y SILLAS                    ,30369,0,30369,94491.78
2022,,338    ,TASA COMPENSACIÓN TELEFÓNICA ESPAÑA                ,151257,0,151257,145835.05
2022,,339    ,OTRAS UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,185017,0,185017,171589.63
2022,,33901  ,TASAS QUIOSCOS                                    ,9644,0,9644,68853.8
2022,,33902  ,TASAS PARADAS EN LA VIA PÚBLICA                    ,19653,0,19653,25542
2022,,34901  ,HUERTOS LÚDICOS                                      ,20000,0,20000,19963.34
2022,,34902  ,SERVICIOS CULTURALES,6,0,6,0
2022,,34903  ,SERVICIOS CULTURALES TEATRE MODERN                   ,6,4603.5,4609.5,18584.5
