#a,Org.,Prog.,Econ.,Denominación (cat),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de crècido,l,Obligaciones reconegudes
2025,061  ,3412 ,226093 ,DESP NIT DE L'ESPORT                              ,061,34   ,22    ,10720,0,,8891.18
2025,064  ,334  ,227991 ,PROJECTE JOVES I MEDI OBERT                       ,064,33   ,22    ,163000,60000,,68149.71
2025,0113 ,132  ,214    ,POLICIA LOCAL-VEHICLES                            ,011,13   ,21    ,49500,0,,0
2025,061  ,3412 ,227991 ,DESP CURSA POPULAR                                ,061,34   ,22    ,16528,0,,0
2025,042  ,334  ,227991 ,PROGRAMA ARTS EN VIU                              ,042,33   ,22    ,250000,0,,164637.5
2025,044  ,2311 ,2279904,CONTR PRESTACIO SERVEIS CURES                     ,044,2311 ,227990,69676,0,,18859.5
2025,044  ,2313 ,227993 ,CONT SERVEI D'INTERVENCIÓ SOCIOEDUCATIVA          ,044,23   ,22    ,549916,11383.75,,240515.3
2025,032  ,170  ,227992 ,CONTR PREST SERVEIS EDUCACIÓ AMBIENTAL            ,032,17   ,22    ,121000,0,,28507.45
2025,032  ,419  ,22799  ,PRESTACIÓ SERVEIS AGRIGULTURA                     ,032,41   ,22    ,25000,0,,0
2025,041  ,326  ,489    ,TRANSF CORRENTS AMPAS                             ,041,32   ,48    ,40450,0,,0
2025,041  ,326  ,48901  ,TRANSF CORRENTS PROJECTES PEDAGÒGICS              ,041,32   ,48    ,4028,0,,0
2025,032  ,1722 ,227992 ,OFICINA D'ENERGIA I CLIMA                         ,032,17   ,22    ,100000,0,,29546.8
2025,031  ,1500 ,22199  ,"BRIGADA, MATERIAL TÈCNIC                          ",031,15   ,22    ,41820,224.42,,4457.73
2025,042  ,333  ,227994 ,CONTR PREST SERVEIS CC JARDINS DE LA PAU          ,042,33   ,22    ,334273,0,,139280.4
2025,041  ,3231 ,227992 ,CONTR PREST SERVEIS AUX ESCOLA BRESSOL            ,041,32   ,22    ,162520,0,,54965.4
2025,031  ,1532 ,2191   ,SUBM. MOBILIARI URBÀ                              ,031,15   ,21    ,195330,10448.27,,10448.27
2025,031  ,1532 ,210    ,VIES PÚBLIQUES CONSERV-REPARACIÓ                  ,031,15   ,21    ,546148,26834.04,,93230
2025,044  ,2311 ,622    ,INV NOVA RESIDENCIA D'AVIS                        ,044,2311 ,622   ,12225869.27,0,,2227189.79
2025,061  ,3411 ,22199  ,FOMENT ASSOC.ESPORTIU-MATERIAL-TROFEUS            ,061,34   ,22    ,15650,0,,1296.21
2025,061  ,342  ,227991 ,CONTR PREST SERVEIS ESPORTS                       ,061,34   ,22    ,1013000,2226.4,,441173.86
2025,012  ,912  ,489    ,TRANSF CORRENTS GRUPS MUNICIPALS                  ,012,912  ,489   ,192000,0,,96000
2025,021  ,1521 ,209    ,CÀNONS CONVENIS HABITATGE                         ,021,1521 ,209   ,82000,0,,804.18
2025,0111 ,920  ,227062 ,ESTUDIS I TREBALLS TÈCNICS TIC                    ,011,92   ,22    ,45000,2178,,16495
2025,041  ,3231 ,227996 ,CONTR PREST SERV ESCOLA BRESSOL LA BLAVETA        ,041,32   ,22    ,615903,25007.35,,214110.68
2025,031  ,920  ,22799  ,CONTR PREST SERVEIS INFRAES VÀRIES                ,031,92   ,22    ,306528,5437.56,,87961.53
2025,031  ,165  ,22799  ,"ENLLUMENAT PÚBLIC, PREST SERVEIS                  ",031,16   ,22    ,878532,0,,380162.6
2025,0111 ,920  ,227063 ,OFICINA TÈCNICA DESENVOLUPAMENT PROGRAMARI SITIC  ,011,92   ,22    ,670000,-80000,,212293.49
2025,051  ,433  ,22799  ,CONTR PREST SERVEIS-ACTIV.ECONÒMICA               ,051,43   ,22    ,40000,0,,14449.6
2025,041  ,326  ,227993 ,PREST SERV CIUTAT DELS INFANTS                    ,041,32   ,22    ,16900,0,,5618.28
2025,021  ,160  ,22706  ,PLA DIRECTOR CLAVEGUERAM                          ,021,16   ,22    ,0,24079,,0
2025,061  ,3412 ,227993 ,CAMPANYA NATACIÓ ESCOLAR AMB EDUCACIÓ             ,061,34   ,22    ,18000,0,,7921.55
2025,041  ,326  ,227995 ,PLA EDUCATIU D'ENTORN                             ,041,32   ,22    ,168659,0,,54408.04
2025,012  ,920  ,227061 ,ESTUDIS I TREBALLS TÈCNICS                        ,012,92   ,22    ,100000,21712.24,,6341.35
2025,042  ,333  ,227999 ,CONTR PREST SERVEIS L'ARTESÀ                      ,042,33   ,22    ,786192,46630.93,,374954.34
2025,041  ,326  ,227999 ,PROJECTE D'IMPULS DE L'ANGLÈS                     ,041,32   ,22    ,308301,0,,137916.8
2025,064  ,334  ,22799  ,PLA JOVE                                          ,064,33   ,22    ,350000,30000,,136531.12
2025,051  ,2412 ,22799  ,CONTR PREST SERVEIS -FORMACIÓ I OCUPACIÓ          ,051,2412 ,22799 ,58150,195549.83,,105424.44
2025,052  ,430  ,22799  ,CONTR PREST SERVEIS DINAMITZACIÓ COMERCIAL        ,052,43   ,22    ,55000,0,,937.08
2025,061  ,3411 ,227993 ,DESP DIVERSES ACTIVITATS ESTIU                    ,061,34   ,22    ,9719,0,,0
2025,011  ,9201 ,226011 ,ATENCIONS PROTOCOL·LÀRIES                         ,011,92   ,22    ,50000,1614.81,,19808.81
2025,042  ,336  ,227991 ,ACTIVITATS HISTÒRIA LOCAL                         ,042,33   ,22    ,34000,1000,,3062.75
2025,0112 ,4311 ,22799  ,"CONTR PREST SERVEIS -FIRA AVÍCOLA, MOSTRA CIAL    ",011,43   ,22    ,245000,12871,,0
